iteration,total_loss,recon_loss,total_corr,betaVAE_kld,lambda_TC,kld_dim1,kld_dim2,kld_dim3,kld_dim4,kld_dim5,kld_dim6,kld_dim7,kld_dim8,kld_dim9,kld_dim10
20,4690.37,3041.77,37.7,0.23,1.0,0,0.0117519675,0.011498048,0.031791758,0.02282012,0.022054253,0.015772602,0.020133888,0.04907777,0.024617124,0.018347293
40,4129.58,2477.21,37.69,1.29,1.0,0,0.11251603,0.12528796,0.15016812,0.1568776,0.124295115,0.1097595,0.1712029,0.07729487,0.15306681,0.11411538
60,3049.93,1382.37,37.56,7.71,1.0,0,0.6145474,0.76594496,1.1120684,0.6616756,0.5688168,0.83353335,1.2176359,0.39802375,0.6630781,0.8752319
80,2808.56,1169.27,37.37,4.58,1.0,0,0.31972227,0.22018577,0.78805393,0.46656868,0.1713225,0.5289466,0.56632996,0.5166556,0.36653525,0.64012617
100,2390.85,820.28,36.33,8.17,1.0,0,0.40746576,0.5067251,0.76249593,1.178071,0.5976814,0.78020835,0.6794424,1.7542659,0.7374641,0.77009654
120,1834.3,700.03,27.52,53.13,1.0,0,2.2262466,2.757896,2.3756413,8.85186,5.653908,5.4813294,4.4872956,12.419161,4.7293615,4.1522965
140,1182.99,531.95,15.98,75.15,1.0,0,3.269439,4.8341,4.9017878,9.773181,9.605671,10.556596,6.6682944,11.324834,5.612155,8.603884
160,896.57,473.32,10.92,60.14,1.0,0,5.4620996,4.6696057,6.423733,7.496529,5.797416,6.9853487,5.399964,7.824838,3.6930828,6.3836055
180,774.72,412.0,8.27,61.35,1.0,0,5.2703867,5.4534645,5.7315073,8.307469,6.1140523,7.283137,6.4983873,6.4486666,4.2976446,5.9489245
200,755.96,415.52,7.16,61.84,1.0,0,5.174761,5.7803926,5.4053245,8.674896,6.522233,6.719841,6.679978,6.5918145,4.7705846,5.5199647
220,668.85,349.45,7.55,54.38,1.0,0,4.7200494,4.9177666,5.431785,7.6551533,5.7318344,5.8992267,5.622996,5.65724,4.252906,4.487583
240,626.41,301.82,7.69,54.85,1.0,0,4.7630186,4.9734783,5.7157187,7.7892075,5.694815,5.7227535,5.384638,5.2812247,4.7251205,4.7980857
260,663.19,339.27,6.92,58.62,1.0,0,4.4855294,4.8635893,7.8675814,7.1129684,6.0560265,5.295142,6.847579,5.8504786,5.19016,5.049506
280,612.3,302.59,6.97,54.96,1.0,0,4.6055083,4.8847113,5.8867154,7.4221425,5.5835075,5.4990726,5.4074726,5.544205,5.260833,4.860994
300,620.25,311.58,6.48,56.97,1.0,0,4.969608,4.9987273,6.089196,7.385627,6.30043,5.8394537,6.0613723,5.155624,4.8276644,5.3424754
320,582.56,285.52,6.2,55.65,1.0,0,5.136113,5.229625,6.034047,6.1863184,5.8128433,5.416823,5.8337398,5.1104693,5.8612967,5.0299015
340,587.87,284.91,6.82,54.02,1.0,0,5.189947,5.0591908,5.8784513,6.2380924,5.3760643,5.237407,5.341478,4.8030214,5.7392592,5.1616344
360,544.62,247.04,7.36,49.85,1.0,0,4.9146304,4.626794,5.218366,4.8581815,5.2362456,4.6857314,4.97345,5.0421276,5.557058,4.740955
380,507.5,217.2,7.22,48.8,1.0,0,4.9955916,4.5722694,5.1634474,4.685768,4.968187,4.650319,5.218345,4.878225,4.867026,4.7991266
400,577.74,281.03,6.26,55.1,1.0,0,5.0561266,5.047498,5.544535,5.5575533,5.571168,5.3705306,5.7855835,6.1453285,5.345408,5.677494
420,530.86,225.54,7.14,52.96,1.0,0,5.009846,4.7452784,6.041633,5.25518,5.361297,4.974162,5.586793,5.7598453,4.789782,5.4334903
440,521.44,224.45,6.95,51.72,1.0,0,5.2847853,5.1250825,4.990075,6.0788193,4.813169,5.4464974,4.9163117,5.030618,4.90769,5.1293716
460,510.71,222.68,6.64,51.16,1.0,0,4.7392373,5.1558094,5.3257003,6.142303,4.711212,4.939568,5.0353513,5.000129,5.1629324,4.9491844
480,528.41,238.82,6.25,53.36,1.0,0,5.000566,5.389211,5.29371,6.4208417,5.138566,5.3774633,5.1970425,5.245957,5.0109644,5.2844763
500,525.96,234.93,6.68,51.62,1.0,0,4.96978,4.932141,5.1435213,5.74102,4.8874125,4.94923,5.1571026,5.16361,5.7728987,4.9009027
520,528.47,244.53,5.96,53.57,1.0,0,5.7116165,4.9326763,5.543866,5.6912365,5.147437,5.0671906,5.2213225,5.6731234,5.6263294,4.953498
540,491.57,198.56,6.93,50.99,1.0,0,5.0644317,5.0301356,5.329202,5.484706,4.634829,5.3532715,5.0945525,4.5475187,5.2159224,5.2323933
560,516.29,227.3,6.54,51.85,1.0,0,5.1886644,5.221791,5.1564727,5.513195,4.9504614,5.2732396,5.0512943,4.7099905,5.368952,5.415805
580,512.29,219.31,7.0,50.65,1.0,0,5.2320046,5.076827,5.504996,5.074507,4.652687,4.9405756,4.9188647,4.7862134,5.316849,5.1420884
600,493.01,204.42,6.33,52.75,1.0499999523162842,0,5.445555,5.283293,5.5057364,5.2368255,4.7257295,5.211934,5.076207,5.1919417,5.716325,5.3575864
620,472.91,177.36,6.74,52.12,1.0499999523162842,0,5.662999,5.058351,5.477608,5.046798,4.9425044,4.9195004,5.001522,5.7579293,5.1304574,5.1259513
640,491.67,196.06,6.32,54.16,1.0499999523162842,0,5.3726335,5.313095,5.366056,5.7622294,5.3418574,5.428303,5.1886106,5.5503426,5.295076,5.5372066
660,469.74,171.87,6.72,52.61,1.0499999523162842,0,5.2120047,5.121011,5.528506,5.373082,5.196252,5.075541,4.962002,5.613725,5.3893156,5.136683
680,458.61,170.67,6.21,52.51,1.0499999523162842,0,5.5213823,5.008438,5.388461,5.496693,5.165034,5.358437,4.8737683,5.0546064,5.2397504,5.398979
700,461.55,167.39,6.78,51.47,1.1024998426437378,0,4.703832,5.2000904,5.3972316,5.4313602,5.06823,5.0008636,4.9918914,5.1901355,5.424773,5.066179
720,462.37,166.18,6.53,52.49,1.1024998426437378,0,5.14488,5.413903,4.9991307,5.2020783,5.178812,5.3697295,5.044585,5.4184694,5.0731153,5.641267
740,431.97,141.98,6.84,49.71,1.1024998426437378,0,5.1300826,4.893546,4.7317743,5.0094457,4.962862,4.822439,4.8441873,5.3106475,4.926529,5.0753775
760,478.63,187.68,6.36,52.2,1.1024998426437378,0,4.9513226,5.1618013,4.8485513,5.859866,5.3297076,4.892326,5.2500114,5.3425174,5.193692,5.3655276
780,446.78,162.4,5.53,54.42,1.1024998426437378,0,5.1011167,5.231533,5.4295597,5.7946935,5.5550914,5.2107573,5.4908094,5.436407,5.491941,5.6733713
800,449.01,157.25,6.51,51.71,1.1576248407363892,0,4.8472114,5.149312,5.040498,5.100359,5.1165905,4.717452,5.201796,5.8943925,5.274247,5.3650756
820,450.51,144.54,7.61,48.8,1.1576248407363892,0,4.975289,4.838247,4.688293,5.049144,4.761164,4.4538302,4.509312,5.200211,5.3667865,4.956876
840,459.82,162.43,6.43,52.96,1.1576248407363892,0,5.0670376,5.3329525,5.0439982,5.6121206,5.2665606,4.9626603,5.238174,5.3404484,5.429489,5.6656995
860,443.58,150.59,6.52,51.31,1.1576248407363892,0,5.3600388,4.895914,4.770975,5.4168205,5.2467318,4.853607,4.899428,5.4372005,5.1919217,5.2326183
880,435.33,140.65,6.58,51.5,1.1576248407363892,0,5.49067,4.8778095,5.053919,5.5140376,5.2934217,4.948455,5.020817,5.4046445,4.9624524,4.933409
900,474.02,174.77,6.21,54.55,1.2155060768127441,0,5.635247,5.22411,5.5165367,5.475165,5.359578,5.5639963,5.3245263,5.5646343,5.4026,5.48118
920,439.25,145.16,6.59,50.6,1.2155060768127441,0,4.969365,4.760277,5.2652626,5.0539336,5.219249,5.0651855,4.9685454,5.3092265,4.896208,5.0906157
940,446.84,145.26,6.76,51.67,1.2155060768127441,0,4.9535956,4.9595485,5.3953357,4.9640985,5.127016,5.0693936,5.2139144,5.4533525,5.1727695,5.3644805
960,433.13,146.09,6.04,51.62,1.2155060768127441,0,5.093992,4.9786797,5.3842764,5.2531033,5.1324673,5.038899,5.018409,5.350753,5.1280193,5.2379994
980,435.03,139.37,6.66,51.01,1.2155060768127441,0,5.4716263,4.8633857,5.155132,5.0637574,5.029279,4.996557,4.7390122,5.3626165,5.230327,5.0946712
1000,423.11,136.57,6.25,50.64,1.2762813568115234,0,4.845938,5.0416794,5.1041183,4.7439785,5.202141,5.027251,4.9584804,5.3272815,5.141759,5.249838
1020,436.5,143.43,6.28,51.36,1.2762813568115234,0,5.0870633,4.9465127,5.014361,5.03956,5.032559,5.227953,5.114288,5.367424,5.477497,5.0491624
1040,418.6,134.99,5.98,50.48,1.2762813568115234,0,4.977045,5.0169067,5.2979293,4.9873285,4.966202,5.030627,5.079503,5.175818,4.965364,4.9832616
1060,438.81,143.92,6.2,52.42,1.2762813568115234,0,5.3867517,5.102028,5.1084075,5.1198707,5.2115607,5.3835344,5.1110477,5.509856,5.3695173,5.1131587
1080,432.26,140.53,6.4,50.64,1.2762813568115234,0,5.418936,5.0157795,5.2211356,5.0255256,4.9823847,5.0033827,5.1779413,4.9565063,4.846192,4.990079
1100,437.81,147.94,5.84,52.83,1.3400954008102417,0,5.356747,5.272088,5.3083014,5.017507,5.1753607,5.3251686,5.0400066,5.6655383,5.5049295,5.1655107
1120,444.3,149.09,6.14,52.01,1.3400954008102417,0,5.1697817,5.416586,5.137128,5.0467944,5.0738726,5.2540307,5.1078963,5.4632196,5.3637753,4.9784393
1140,433.77,133.95,6.58,51.18,1.3400954008102417,0,5.687955,5.28207,4.919993,4.8397274,5.123761,5.1388607,5.026081,5.1488614,5.035328,4.975959
1160,425.96,133.91,6.21,50.97,1.3400954008102417,0,5.2214494,4.988031,4.9271073,5.1833014,4.954453,5.1754274,4.9434147,5.2628813,5.402441,4.9100266
1180,453.43,155.79,6.2,52.49,1.3400954008102417,0,5.2878647,5.3032866,4.9879603,5.650916,5.341735,5.2377763,5.199268,5.1485844,5.1755257,5.1526785
1200,433.76,135.54,6.18,52.78,1.4071000814437866,0,5.300558,5.218223,4.9687567,5.483366,5.3548613,5.139863,5.1494236,5.645027,5.4402957,5.0830345
1220,453.14,150.41,6.36,52.29,1.4071000814437866,0,5.3558483,5.2532725,5.0426784,5.396923,5.287636,5.13296,5.3922157,5.169835,5.256957,4.997388
1240,428.66,137.86,5.85,51.93,1.4071000814437866,0,5.3939834,5.0526032,5.2429624,5.3064203,5.2915573,5.0701675,5.252696,5.136773,5.1216373,5.056795
1260,427.05,130.66,6.25,51.3,1.4071000814437866,0,4.9694176,5.19088,5.2302494,5.1595564,4.9573603,5.115377,4.967688,5.164118,5.5674844,4.973344
1280,430.36,133.16,6.48,50.27,1.4071000814437866,0,4.897648,5.152214,5.011492,5.1749663,4.857721,4.9075003,5.320103,4.892481,5.045285,5.006738
1300,456.5,154.44,6.25,52.65,1.4774550199508667,0,5.177671,5.477932,5.0856776,5.2579155,5.156055,5.229186,5.2563424,5.254483,5.420943,5.3353014
1320,456.05,149.28,6.25,53.07,1.4774550199508667,0,5.6390295,5.1430564,5.4203353,5.2347755,5.3470135,5.123195,5.0190034,5.232723,5.922219,4.9935055
1340,428.56,133.34,5.92,52.01,1.4774550199508667,0,5.1336737,5.298545,4.9258485,5.15117,5.265356,4.9997087,5.2281475,5.147664,5.6891775,5.1682825
1360,437.44,134.32,6.28,52.04,1.4774550199508667,0,5.369368,5.223157,4.9063563,5.426502,5.0457463,5.1759467,5.005264,5.2101197,5.6061707,5.0743785
1380,432.93,138.22,5.69,53.0,1.4774550199508667,0,5.2882295,5.4180017,5.205363,5.468174,5.1510167,5.2957673,5.133812,5.172416,5.713524,5.157469
1400,431.03,135.0,5.88,52.27,1.5513277053833008,0,5.157185,5.381484,5.2579784,5.126646,5.0520434,5.260892,5.258355,5.179473,5.3402734,5.2574687
1420,440.92,131.27,6.31,52.82,1.5513277053833008,0,5.369275,5.04357,5.1626587,5.3633804,5.1539974,5.16891,5.8001266,5.249151,5.1566525,5.3478584
1440,424.77,119.56,6.28,51.96,1.5513277053833008,0,5.05033,5.262258,5.3531795,5.15124,5.178282,5.5506134,4.94275,4.875994,5.3907332,5.206048
1460,427.65,129.15,5.93,52.12,1.5513277053833008,0,5.3740597,5.190941,5.360485,5.0596457,5.6108036,5.059254,5.2572093,5.06623,5.2634397,4.8773637
1480,445.22,144.0,5.85,53.23,1.5513277053833008,0,5.343992,5.2473145,5.805967,5.5744705,5.476959,5.1986094,5.0022287,5.140561,5.2304697,5.2052307
1500,427.5,119.47,6.46,51.61,1.6288939714431763,0,5.102086,5.144224,5.048923,5.1392856,5.1657295,5.0114145,5.449904,5.107398,5.3828497,5.06019
1520,408.94,103.42,6.32,50.96,1.6288939714431763,0,4.883384,5.1959043,5.0371256,5.316552,5.1144223,4.829797,5.2524304,4.977934,5.2721524,5.079463
